"rank","property_id","address","latitude","longitude","price","currency","bedrooms","bathrooms","area_sqft","land_area_sqft","listing_agent_name","listing_broker_name","other_agents","redfin_estimate","estimate_mortgage","days_on_market","year_built","property_type","property_style","sold_date","status","mls_number","image_urls","description","input_url","property_url","listing_page_url"
"649","1587505","2545 Rampart St, Oakland, CA 94602","37.8039306","-122.2065964","1230000","USD","3","1","991","4264","Cheryl Berger","COMPASS","","1225004","","","1943","Single Family Residential","","","Sold","40943602","https://ssl.cdn-redfin.com/photo/10/bigphoto/602/40943602_1.jpg | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |","Set back on a quiet tree lined street, you’ll find the quaint 2545 Rampart Street. This 3 bedroom, 1 bath charmer is recently renovated and boasts a new kitchen, refinished hardwood floors, modern lighting and newer paint. Large, oversized windows and glass french doors fill every room of this house with light. Gleaming Neolith countertops and stainless steel appliances showcase the recently renovated kitchen, complete with a chef’s cooktop and stove, french door refrigerator and high-end dishwasher. The spacious sunlit primary bedroom is framed by lovely French doors that peek over the deck into the garden. There is a large native plant garden that is fenced for privacy and features citrus and pomegranate trees! Impressive raised planter boxes line the side of the house and another beautiful native plant garden can be found in the front yard. The long driveway and detached garage ensures parking for you and guests. Stroll to local shops and restaurants in the Diamond and Laurel.","https://www.redfin.com/city/13654/CA/Oakland/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo,viewport=38.74419:37.07354:-120.67884:-123.98848","https://www.redfin.com/CA/Oakland/2545-Rampart-St-94602/home/1587505","https://www.redfin.com/city/13654/CA/Oakland/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo,viewport=38.74419:37.07354:-120.67884:-123.98848/page-6"
"526","1952887","5340 Broadway Ter #701, Oakland, CA 94618","37.8380335","-122.2477079","972500","USD","2","2","1012","","Dave Nardi","Windermere Diablo Realty","","923651","","","1971","Condo/Co-op","","","Sold","40928451","https://ssl.cdn-redfin.com/photo/10/bigphoto/451/40928451_4.jpg | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |","Alluring Penthouse w/ICONIC SF Bay/GG Bridge Views! The ULTIMATE in condo living! An ""EXTREMELY RARE"" offering! This PENTHOUSE (Suite 701) is ONE OF A KIND! Top (7th) floor, all by itself, nobody above or to the sides, END UNIT in all directions! Come for the PRIVACY & stay for the VIEWS! This prestigious Rockridge location boasts multi bridge views to enjoy from the personal & relaxing balcony! In the heart of Upper Rockridge near 5 star restaurants, boutiques, gourmet markets, bakeries, etc. Enjoy a coffee or a cocktail as your eyes wander over the waterways, bridges, hills & city lights. The rear wall is 90% windows for your viewing pleasure. Near Claremont C.C., Rockridge BART, TransBay Bus, AC Transit & more! New paint, carpet, updated bathrooms & kitchen, recessed LED lighting, gas fireplace, etc. A MUST SHOW! Compare, we bet you will be BACK! Some photos are virtually staged.","https://www.redfin.com/city/13654/CA/Oakland/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo,viewport=38.74419:37.07354:-120.67884:-123.98848","https://www.redfin.com/CA/Oakland/5340-Broadway-Ter-94618/unit-701/home/1952887","https://www.redfin.com/city/13654/CA/Oakland/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo,viewport=38.74419:37.07354:-120.67884:-123.98848/page-5"
"135","1808938","1124 Hollywood Ave #3, Oakland, CA 94602","37.8122401","-122.2170365","565000","USD","1","1","894","","ANDREW PITARRE","Compass","","593787","","","1969","Condo/Co-op","","","Sold","40935364","https://ssl.cdn-redfin.com/photo/10/bigphoto/364/40935364_2.jpg | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |","Oakland / Piedmont border w/ DIRECT OPEN AIR ACCESS to this sheik mid mod condo. Almost 900 SF. Large 1 BR, 1 BA flat feels incredibly private. Fresh floors & refreshed kitchen / bath, along w/ all the elements you see & touch everyday, have been thoughtfully updated w/ designer look. New appliances, designer paint, light fixtures, countertops & tile backsplash, faucets, garbage disposal, Nest Thermostat, vanity cabinets, bathroom tile floor, carpet, dual pane windows, glass closet doors. Don’t miss the dining room adjacent to the kitchen and the wallpapered office alcove w/ storage & closet organizers! Every detail has been considered so you could move right in from day one. Perfect place for first-time homeowners looking to build equity or perhaps a local family who wants a nearby living arrangement for a relative. Rare 1 car garage w/ bonus storage locker, PLUS a 2nd tandem parking spot. Lovely shared garden & picnic/BBQ area shows pride of ownership. Don’t miss a RARE opportunity!","https://www.redfin.com/city/13654/CA/Oakland/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo,viewport=38.74419:37.07354:-120.67884:-123.98848","https://www.redfin.com/CA/Oakland/1124-Hollywood-Ave-94602/unit-3/home/1808938","https://www.redfin.com/city/13654/CA/Oakland/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo,viewport=38.74419:37.07354:-120.67884:-123.98848/page-2"
"276","555913","5240 Belvedere St, Oakland, CA 94601","37.7746252","-122.1994141","821658","USD","2","1","1434","5200","","","","821658","","","1923","Single Family Residential","","09-03-2021","Sold","","https://ssl.cdn-redfin.com/photo/10/bigphoto/949/23021949_0.jpg","","https://www.redfin.com/city/13654/CA/Oakland/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo,viewport=38.74419:37.07354:-120.67884:-123.98848","https://www.redfin.com/CA/Oakland/5240-Belvedere-St-94601/home/555913","https://www.redfin.com/city/13654/CA/Oakland/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo,viewport=38.74419:37.07354:-120.67884:-123.98848/page-3"
"88","17184565","2130 Mountain Blvd #102, Oakland, CA 94611","37.8247139","-122.2088796","505000","USD","1","1","598","","CYNTHIA SPEERS","THE GRUBB CO. INC.","","532368","","","1959","Condo/Co-op","","","Sold","40942357","https://ssl.cdn-redfin.com/photo/10/bigphoto/357/40942357_1.jpg | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |","Bantam Weight Champion of the World! Well, of the 1 bedroom condo world. Excellent 20 unit boutique “The Montclair” building. Everything you could ask for: Large bedroom, walk-in closet, secure dedicated parking and storage locker, secure building, in-unit laundry, open kitchen with a+ quality Studio-Becker cabinets, gorgeous bathroom, wonderfully private deck spanning the bedroom and living room sliding doors. Take a dip in the refreshing pool or lounge around the pool deck. Montclair shops and services right out your front door. When commute becomes a thing again, easy access anywhere via Hwy 13/Hwy 24 or transbay bus. Perfectly efficient home for a professional who needs a regular Bay Area landing pad, for downsizer or first time homeowner. Come see! These high quality units are seldom available.","https://www.redfin.com/city/13654/CA/Oakland/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo,viewport=38.74419:37.07354:-120.67884:-123.98848","https://www.redfin.com/CA/Oakland/2130-Mountain-Blvd-94611/unit-102/home/17184565","https://www.redfin.com/city/13654/CA/Oakland/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo,viewport=38.74419:37.07354:-120.67884:-123.98848"
"404","112885497","1423 Pullman Way, OAKLAND, CA 94607","37.8145074","-122.2988011","790000","USD","3","2.5","1644","268213","Kei Group","Compass","","801708","","","2017","Townhouse","","05-04-2021","Sold","ML81831023","https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_1_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_2_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_3_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_4_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_5_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_6_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_7_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_8_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_9_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_10_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_11_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_12_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_13_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_14_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_15_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_16_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_17_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_18_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_19_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_20_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_21_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_22_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_23_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_24_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_25_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_26_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_27_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_28_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_29_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_30_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_31_3.jpg | https://ssl.cdn-redfin.com/photo/8/bigphoto/023/ML81831023_32_3.jpg","Contemporary & stylish, solar powered townhome features 3 bed, 3.5 bath, 1,644 sq. ft. of open living space & a highly desirable floorplan that provides privacy & flexibility for modern living. The stunning chefs kitchen showcases an expansive island with quartz counter tops, handsome cabinetry, Bertazzoni & Bosch stainless steel appliances. The grand living room on the second floor featuring an open patio, makes this home perfect for entertaining & relaxing. Spacious first floor guest suite offers a large walk in closet & direct access to a private backyard. The master & junior suites on the top floor are both spacious & bright featuring ultra-luxurious bathrooms with double sinks. Modern & convenient amenities include keyless entrance, Nest thermostat, double pane windows, central AC, recessed lighting, LG washer & dryer in-unit, & attached 1 car garage with pre-plumbing for electric vehicle chargers. Community amenities include bocce ball court, ping pong tables, & picnic areas.","https://www.redfin.com/city/13654/CA/Oakland/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo,viewport=38.74419:37.07354:-120.67884:-123.98848","https://www.redfin.com/CA/Oakland/1423-Pullman-Way-94607/home/112885497","https://www.redfin.com/city/13654/CA/Oakland/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo,viewport=38.74419:37.07354:-120.67884:-123.98848/page-4"
"144","533276","818 E 19Th St, Oakland, CA 94606","37.7966872","-122.2463119","571000","USD","1","1","657","1200","Jeff Goodman","Compass","","538806","","","1906","Single Family Residential","","","Sold","40943759","https://ssl.cdn-redfin.com/photo/10/bigphoto/759/40943759_1.jpg | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |","Seller says Bring All Offers! Come see this unique 1906 Earthquake house in a historic Lake Merritt neighborhood. A quick stroll down the street gets you to Lake Merritt and the surrounding areas with many restaurants, shops and brings you in close proximity to downtown! This one bedroom with its period details, including wainscotting and coved ceilings, has received a full remodel. The house has newer perimeter foundation, Marvin double-paned windows, modern doors, skylight, mosaic bathroom with large shower, newly installed oak flooring, melamine kitchen and pantry cabinets. The private patio constructed out of maribu hardwood consists of a laundry/storage room with a new Energy Star washer, and lots of storage. BART is nearby. Great place for a person(s) tired of renting and looking for a low maintenance home to call their own. Many Custom Feature Throughout!","https://www.redfin.com/city/13654/CA/Oakland/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo,viewport=38.74419:37.07354:-120.67884:-123.98848","https://www.redfin.com/CA/Oakland/818-E-19th-St-94606/home/533276","https://www.redfin.com/city/13654/CA/Oakland/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo,viewport=38.74419:37.07354:-120.67884:-123.98848/page-2"
"734","621801","5945 Sherwood Dr, Oakland, CA 94611","37.8397964","-122.2144432","1440000","USD","3","2","1634","7766","JOHN COOPER","Compass","","1407216","","","1925","Single Family Residential","","","Sold","40935019","https://ssl.cdn-redfin.com/photo/10/bigphoto/019/40935019_1.jpg | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |","Sun-drenched 5945 Sherwood is the best of both worlds - a private sanctuary set minutes away from endless trails perfect for hiking/running/cycling, yet moments from Montclair Village amenities including restaurants, shops, cafes, and weekly farmer’s market. The home provides true indoor/outdoor living in both front and rear - the front garden features slate paths and terraced garden beds with 11 different kinds of fruit trees, and the rear features enormous room-sized decks which connect to nearly every room in the home, a chicken coop (with real egg laying chickens!), and 3 add'l types of fruit trees. Recently remodeled bathrooms, a remodeled kitchen, and refinished hardwood floors make this 1929 home feel much more 2021. Fabulous Lake Merritt and Bay views. Green improvements include owned solar panels, efficient windows and doors, and a 220v Tesla charger. Assigned to Thornhill Elementary based on location, though admission not guaranteed. 2 car detached carport for easy parking.","https://www.redfin.com/city/13654/CA/Oakland/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo,viewport=38.74419:37.07354:-120.67884:-123.98848","https://www.redfin.com/CA/Oakland/5945-Sherwood-Dr-94611/home/621801","https://www.redfin.com/city/13654/CA/Oakland/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo,viewport=38.74419:37.07354:-120.67884:-123.98848/page-7"
"221","22726354","311 Oak St #834, Oakland, CA 94607","37.7940627","-122.2680029","630000","USD","1","1","870","","ANTHEA FERRER","JACK LONDON SQUARE REALTY","BACH NGUYEN - JACK LONDON SQUARE REALTY","634190","","","2003","Condo/Co-op","","","Sold","40940101","https://ssl.cdn-redfin.com/photo/10/bigphoto/101/40940101_1.jpg | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |","Still Available!! This 1-bedrm unit is Southwest facing with views of the Oakland/Alameda Estuary. Updated and Remodeled kitchen & bathroom, & built-in AC. The Sierra is a Luxurious & Sophisticated Condominium in the heart of the comforts of an urban vibe & lifestyle in the Oakland-Jack London Square neighborhood. Conveniently located near 880 Fwy, BART, Alameda/Oakland Ferry, B Shuttle, & AMTRAK. OAKInt'l Airport is just a quick drive south. Enjoy the scenic Oakland Estuary pathway, dining, shopping, Farmers Market, and services. A Southwest facing unit, with afternoon/evening natural lighting in a 9' high ceiling loft, hardwood flooring and open floor plan. Seller has updated and remodeled the kitchen, bathroom, and appliances. Garage Parking(1 spot assigned); HOA amenities: 24/7 Concierge; Pool; Sauna; Fitness Ctr; Billiard; Conference Rm+more... All information and images should be independently reviewed and verified for accuracy.","https://www.redfin.com/city/13654/CA/Oakland/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo,viewport=38.74419:37.07354:-120.67884:-123.98848","https://www.redfin.com/CA/Oakland/311-Oak-St-94607/unit-834/home/22726354","https://www.redfin.com/city/13654/CA/Oakland/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo,viewport=38.74419:37.07354:-120.67884:-123.98848/page-3"
"388","22963579","2932 Filbert St #2, Oakland, CA 94608","37.8210403","-122.2781933","775000","USD","2","2","1636","10938","ROBIN DONOVAN","RED OAK REALTY","Stephen Bloom - RED OAK REALTY","787376","","","1993","Condo/Co-op","","","Sold","40929935","https://ssl.cdn-redfin.com/photo/10/bigphoto/935/40929935_1.jpg | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | | |","Italian Design Meets Live/Work Loft Thoughtful in every detail, this home is full of light and delight. You can use the entire 3 floors of space for your own, or rent the first floor (with a private entrance), and enjoy living on the upper floors. It's 2 bedroom, 2 baths, with 1,636 square feet of space. The soaring ceilings give room for your creativity, with electrical connections in the rafters for shop equipment. The high-design gourmet kitchen will entice you to forge fabulous, fun meals, then enjoy the custom home-theater experience, with 7.1 sound, projector and motorized screen. A private balcony off the kitchen is perfect for al fresco dining, or just enjoying an espresso. Remodeled with gleaming wood floors, updated bathrooms with porcelain-tile walls and Toto fixtures, this live/work loft condominium is ready for you to arrive.","https://www.redfin.com/city/13654/CA/Oakland/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo,viewport=38.74419:37.07354:-120.67884:-123.98848","https://www.redfin.com/CA/Oakland/2932-Filbert-St-94608/unit-2/home/22963579","https://www.redfin.com/city/13654/CA/Oakland/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo,viewport=38.74419:37.07354:-120.67884:-123.98848/page-4"
