"rank","property_id","address","latitude","longitude","price","currency","bedrooms","bathrooms","area_sqft","land_area_sqft","listing_agent_name","listing_broker_name","other_agents","redfin_estimate","estimate_mortgage","days_on_market","year_built","property_type","property_style","sold_date","status","mls_number","image_urls","description","input_url","property_url","listing_page_url"
"114","2344800","346 Taylor Vw, Santa Rosa, CA 95404","38.41546","-122.705402","312000","USD","2","1","864","","Pam Stephens","Stephens & Associates","","316474","","","1994","Condo/Co-op","","15-04-2021","Closed","321014949","https://ssl.cdn-redfin.com/photo/27/bigphoto/949/321014949_0.jpg","Very sweet well taken care of two bedroom one bath condo. Newer appliances with gas stove/oven, remodeled kitchen and bathroom. Small sunny backyard. Close to shopping and Taylor Mt Regional Park.","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/346-Taylor-View-Dr-95404/home/2344800","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
"64","12112468","9124 Oak Trail Cir, Santa Rosa, CA 95409","38.4324324","-122.5813049","870000","USD","3","2","2321","7127","","","","875478","","","2006","Single Family Residential","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=9124+Oak+Trail+Cir%2C+Santa+Rosa%2C+CA+95409&size=665x441&source=outdoor&client=gme-redfin&signature=r5vqLvNIDfNSjFjTMHrhfvYkh8c=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/9124-Oak-Trail-Cir-95409/home/12112468","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"207","2342206","176 Hazelnut Ln, Santa Rosa, CA 95407","38.3970939","-122.7182265","540155","USD","4","2","1481","2541","","","","540155","","","2001","","","05-03-2021","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=176+Hazelnut+Ln%2C+Santa+Rosa%2C+CA+95407&size=665x441&source=outdoor&client=gme-redfin&signature=qY4ZmEgYhu6Bxn6EQwD4xGAH-jg=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/176-Hazelnut-Ln-95407/home/2342206","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
"181","2631309","1709 Las Pravadas Ct, Santa Rosa, CA 95409","38.465245","-122.6739594","390000","USD","3","1.5","1220","1128","Sue Cho","Safer Properties","","391798","","","1973","Townhouse","Traditional","01-05-2021","Closed","321019128","https://ssl.cdn-redfin.com/photo/27/bigphoto/128/321019128_0.jpg","Awake to the sounds of birds chirping and frogs in the creek right outside your window. This bright, sunny Rincon Valley townhome located in sought after private PRIME location of Mission Creek backs up to the Dutcher/Austin Creek greenbelt. There is a large private courtyard in front and back patio with an apricot tree and grape vines. There are updates throughout including dual pane windows, wood pattern laminate flooring, carpet and a bay window in the kitchen. Mission Creek offers many amenities including two swimming pools, sprawling lawns, tons of greenery and no through traffic. The convenient location provides easy access to Rinconada Park, Madrone Elementary, Oliver's Market. Ducks, river otters and turtles live along the Brush and Santa Rosa Creek trails minutes from your home.","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/1709-Las-Pravadas-Ct-95409/home/2631309","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
"41","2558042","2900 - 2908 Tachevah Dr, Santa Rosa, CA 95405","38.429531","-122.66568","900000","USD","5","4.5","2489","7290","","","","","","","1979","Multi-Family (2-4 Unit)","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=2900+Tachevah+Dr%2C+Santa+Rosa%2C+CA+95405&size=665x441&source=outdoor&client=gme-redfin&signature=GHa8Wshb4WHWr_qN1MyBTrhnZG0=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/2900-Tachevah-Dr-95405/home/2558042","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"144","2229652","1370 Townview Ave #301, Santa Rosa, CA 95405","38.4343171","-122.6851094","345000","USD","2","1.5","1255","","Drake Delzell","RE/MAX Marketplace","","346983","","","1975","Condo/Co-op","Contemporary","05-05-2021","Closed","321008519","https://ssl.cdn-redfin.com/photo/27/bigphoto/519/321008519_1.jpg","A View from the Top. Bennett Valley 2BD/1.5BA 1,255 SQ.SF condo in desirable Townview complex. Top floor, Single level unit with well-sized kitchen. Lots of light as this end unit features a full dining room and extra windows. The adjacent family room with vaulted ceiling is bathed in natural light from the sliding door and window. A full length covered deck offers beautiful sunsets and panoramic views. The large primary bedroom with vaulted ceiling and deck access, second bedroom and spacious full bathroom are down the hall past the indoor laundry area. Guest half bathroom in entry hall. Covered garage parking, complex swimming pool, and elevator access. Ideally situated near Hwy 12 & Hwy 101, close to Montgomery Village shops, restaurants and amenities plus nearby parks with hiking and biking trails.","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/1370-Townview-Ave-95405/unit-301/home/2229652","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
"162","2323440","1867 Windmill Cir, Santa Rosa, CA 95403","38.4639825","-122.7506578","368000","USD","2","1.5","966","871","Daphne Peterson","Keller Williams Realty","","373779","","","1985","Condo/Co-op","Contemporary","20-04-2021","Closed","321011468","https://ssl.cdn-redfin.com/photo/27/bigphoto/468/321011468_0.jpg","Move-in ready home with a one-car garage! This property has all hard surface flooring- laminate and tile and on-demand water heater. All of the appliances are included: stainless steel gas stove, refrigerator, and dishwasher in the kitchen and a stacking washer and dryer upstairs. It's short walk through the park-like grounds to the spa. This property has very low HOA dues - $245/month that include exterior maintenance, roof, trash and grounds maintenance. Convenient location and close to shopping and a short hop to the highway.","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/1867-Windmill-Cir-95403/home/2323440","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo/page-2"
"105","26838734","1955 Pinercrest Dr #229, Santa Rosa, CA 95403","38.4687025","-122.7517439","201000","USD","2","2","1152","","Kenneth Schrier","RE/MAX Marketplace","","","","","1987","Mobile/Manufactured Home","","22-03-2021","Closed","321002416","https://ssl.cdn-redfin.com/photo/27/bigphoto/416/321002416_0.jpg","Adult Community Beauty! This wonderful 2 bedroom, 2 full bath home located in The Orchards of Santa Rosa is a must see! Home features plenty of natural light, bamboo floors, air conditioning, dual pane windows, covered patio, an attached 2 car garage and tons of extras!","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/1955-Pinercrest-Dr-95403/unit-229/home/26838734","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"42","2558042","2900 - 2908 Tachevah Dr, Santa Rosa, CA 95405","38.429531","-122.66568","900000","USD","5","4.5","2489","7290","","","","","","","1979","Multi-Family (2-4 Unit)","","","Sold","","https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=2900+Tachevah+Dr%2C+Santa+Rosa%2C+CA+95405&size=665x441&source=outdoor&client=gme-redfin&signature=GHa8Wshb4WHWr_qN1MyBTrhnZG0=","","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/2900-Tachevah-Dr-95405/home/2558042","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
"112","2206674","300 Stony Point Rd #145, Santa Rosa, CA 95401","38.4355543","-122.7422668","300000","USD","2","1.5","960","871","Aaron Brosamle","W Real Estate","","314427","","","1969","Condo/Co-op","","02-04-2021","Closed","22032113","https://ssl.cdn-redfin.com/photo/27/bigphoto/113/22032113_0.jpg","Wonderful ground level home with very large private yard space! Updates throughout, new paint, home is ready for it's new owners! Laundry on property so you do not have to use shared common laundry room!","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo","https://www.redfin.com/CA/Santa-Rosa/300-Stony-Point-Rd-95401/unit-145/home/2206674","https://www.redfin.com/city/17911/CA/Santa-Rosa/filter/sort=lo-price,property-type=house+condo+townhouse+multifamily+manufactured,include=mlsfsbo+foreclosed+sold-3mo"
